# GENERATED by tools/stdlib_sig_check.py — arity ranges VERIFIED against the compiler.
# min is DISCOVERED by probing (trailing args may default); max is the documented count.
# recv_kind	method	min	max
str	upper	0	0
str	lower	0	0
str	trim	0	0
str	trimLeft	0	0
str	trimRight	0	0
str	reverse	0	0
str	replace	2	2
str	repeat	1	1
str	padLeft	1	2
str	padRight	1	2
str	center	1	2
str	concat	1	1
List(str)	join	1	1
str	substring	2	2
str	toHex	0	0
str	fromHex	0	0
str	encodeBase64	0	0
str	decodeBase64	0	0
str	lines	0	0
str	replaceAll	2	2
str	toString	0	0
str	indexOf	1	1
str	lastIndexOf	1	1
str	indexOfFrom	2	2
str	indexOfIgnoreCase	1	1
str	count	1	1
str	toInt	0	0
str	toIntBase	1	1
str	tryInt	0	0
str	tryFloat	0	0
str	codePointCount	0	0
str	toFloat	0	0
str	contains	1	1
str	startsWith	1	1
str	endsWith	1	1
str	isEmpty	0	0
str	isAlpha	0	0
str	isNumeric	0	0
str	isAlphanumeric	0	0
str	isPrintable	0	0
str	isValidUtf8	0	0
str	eqlIgnoreCase	1	1
str	startsWithIgnoreCase	1	1
str	endsWithIgnoreCase	1	1
str	containsIgnoreCase	1	1
str	split	1	1
str	tokenize	1	1
